Row Labels,Count of UN Country codes,,,,Row Labels,Count of Country Code (Oly)
MAR,1,,,,MON,89
AFG,1,,,,MAR,392
AGO,1,,,,AFG,20
ALB,1,,,,AHO,28
AND,1,,,,ALB,65
ARE,1,,,,ALG,387
ARG,1,,,,AND,123
ARM,1,,,,ANG,217
ATG,1,,,,ANT,64
AUS,1,,,,ARG,1356
AUT,1,,,,ARM,221
AZE,1,,,,ARU,30
BDI,1,,,,ASA,31
BEL,1,,,,AUS,4272
BEN,1,,,,AUT,1723
BFA,1,,,,AZE,283
BGD,1,,,,BAH,221
BGR,1,,,,BAN,42
BHR,1,,,,BAR,118
BHS,1,,,,BDI,39
BIH,1,,,,BEL,800
BLR,1,,,,BEN,38
BLZ,1,,,,BER,85
BOL,1,,,,BHU,24
BRA,1,,,,BIH,134
BRB,1,,,,BIZ,37
BRN,1,,,,BLR,1787
BTN,1,,,,BOL,78
BWA,1,,,,BOT,63
CAF,1,,,,BRA,2329
CAN,1,,,,BRN,96
CHE,1,,,,BRU,10
CHL,1,,,,BUL,1236
CHN,1,,,,BUR,34
CIV,1,,,,CAF,48
CMR,1,,,,CAM,29
COD,1,,,,CAN,4604
COG,1,,,,CAY,55
COL,1,,,,CGO,47
COM,1,,,,CHA,21
country_code,1,,,,CHI,321
CPV,1,,,,CHN,4167
CRI,1,,,,CIV,101
CUB,1,,,,CMR,177
CYP,1,,,,COD,55
CZE,1,,,,COK,32
DEU,1,,,,COL,617
DJI,1,,,,COM,19
DMA,1,,,,CPV,18
DNK,1,,,,CRC,103
DOM,1,,,,CRO,876
DZA,1,,,,CUB,1254
ECU,1,,,,CYP,163
EGY,1,,,,CZE,1874
ERI,1,,,,DEN,1022
ESP,1,,,,DJI,29
EST,1,,,,DMA,19
ETH,1,,,,DOM,187
FIN,1,,,,ECU,174
FJI,1,,,,EGY,708
FRA,1,,,,ERI,43
FSM,1,,,,ESA,70
GAB,1,,,,ESP,3052
GBR,1,,,,EST,732
GEO,1,,,,ETH,200
GHA,1,,,,FIJ,146
GIN,1,,,,FIN,1552
GMB,1,,,,FRA,4500
GNB,1,,,,FSM,26
GNQ,1,,,,GAB,56
GRC,1,,,,GAM,34
GRD,1,,,,GBR,3726
GTM,1,,,,GBS,21
GUY,1,,,,GEO,286
HKG,1,,,,GEQ,28
HND,1,,,,GER,5688
HRV,1,,,,GHA,170
HTI,1,,,,GRE,1432
HUN,1,,,,GRN,41
IDN,1,,,,GUA,168
IND,1,,,,GUI,40
IRL,1,,,,GUM,85
IRN,1,,,,GUY,41
IRQ,1,,,,HAI,50
ISL,1,,,,HKG,347
ISR,1,,,,HON,136
ITA,1,,,,HUN,2044
JAM,1,,,,INA,268
JOR,1,,,,IND,574
JPN,1,,,,IRI,332
KAZ,1,,,,IRL,582
KEN,1,,,,IRQ,71
KGZ,1,,,,ISL,273
KHM,1,,,,ISR,388
KIR,1,,,,ISV,141
KNA,1,,,,ITA,4537
KOR,1,,,,IVB,26
KWT,1,,,,JAM,477
LAO,1,,,,JOR,50
LBN,1,,,,JPN,4132
LBR,1,,,,KAZ,1429
LBY,1,,,,KEN,396
LCA,1,,,,KGZ,227
LIE,1,,,,KIR,11
LKA,1,,,,KOR,2913
LSO,1,,,,KOS,8
LTU,1,,,,KSA,142
LUX,1,,,,KUW,125
LVA,1,,,,LAO,32
MDA,1,,,,LAT,788
MDG,1,,,,LBA,38
MDV,1,,,,LBR,29
MEX,1,,,,LCA,28
MHL,1,,,,LES,46
MKD,1,,,,LIB,82
MLI,1,,,,LIE,124
MLT,1,,,,LTU,624
MMR,1,,,,LUX,96
MNE,1,,,,MAD,73
MNG,1,,,,MAS,288
MOZ,1,,,,MAW,24
MRT,1,,,,MDA,234
MUS,1,,,,MDV,40
MWI,1,,,,MEX,888
MYS,1,,,,MGL,235
NAM,1,,,,MHL,14
NER,1,,,,MKD,84
NGA,1,,,,MLI,65
NIC,1,,,,MLT,53
NLD,1,,,,MNE,94
NOR,1,,,,MOZ,36
NPL,1,,,,MRI,126
NZL,1,,,,MTN,20
OMN,1,,,,MYA,38
PAK,1,,,,NAM,77
PAN,1,,,,NCA,67
PER,1,,,,NED,2320
PHL,1,,,,NEP,44
PLW,1,,,,NGR,559
PNG,1,,,,NIG,30
POL,1,,,,NOR,1853
PRT,1,,,,NRU,13
PRY,1,,,,NZL,1411
PSE,1,,,,OMA,31
QAT,1,,,,PAK,157
ROU,1,,,,PAN,55
RUS,1,,,,PAR,94
RWA,1,,,,PER,163
SAU,1,,,,PHI,143
SDN,1,,,,PLE,21
SEN,1,,,,PLW,25
SGP,1,,,,PNG,72
SLB,1,,,,POL,2431
SLE,1,,,,POR,706
SLV,1,,,,PRK,501
SRB,1,,,,PUR,401
SSD,1,,,,QAT,153
STP,1,,,,ROU,1805
SUR,1,,,,RSA,1041
SVK,1,,,,RUS,4862
SVN,1,,,,RWA,42
SWE,1,,,,SAM,43
SWZ,1,,,,SCG,321
SYC,1,,,,SEN,177
SYR,1,,,,SEY,75
TCD,1,,,,SGP,221
TGO,1,,,,SKN,42
THA,1,,,,SLE,48
TJK,1,,,,SLO,1111
TKM,1,,,,SMR,64
TLS,1,,,,SOL,19
TON,1,,,,SOM,14
TTO,1,,,,SRB,390
TUN,1,,,,SRI,86
TUR,1,,,,SSD,3
TZA,1,,,,STP,15
UGA,1,,,,SUD,39
UKR,1,,,,SUI,2123
URY,1,,,,SUR,44
USA,1,,,,SVK,1055
UZB,1,,,,SWE,2443
VCT,1,,,,SWZ,37
VEN,1,,,,SYR,55
VNM,1,,,,TAN,51
VUT,1,,,,TGA,32
WSM,1,,,,THA,401
YEM,1,,,,TJK,70
ZAF,1,,,,TKM,54
ZMB,1,,,,TLS,9
ZWE,1,,,,TOG,40
Grand Total,190,,,,TPE,573
,,,,,TTO,207
,,,,,TUN,359
,,,,,TUR,626
,,,,,TUV,7
,,,,,UAE,97
,,,,,UGA,95
,,,,,UKR,2559
,,,,,URU,126
,,,,,USA,7335
,,,,,UZB,495
,,,,,VAN,29
,,,,,VEN,521
,,,,,VIE,104
,,,,,VIN,36
,,,,,YEM,32
,,,,,YUG,60
,,,,,ZAM,55
,,,,,ZIM,147
,,,,,Grand Total,120829
